,Species,eBird Link,Info
85,Long-tailed Shrike,/species/lotshr1/IN-PB-SH,"A large, noisy shrike typical of open habitats across Asia. Adults have a dark mask and a light gray upper back with a variable amount of orange on lower back and flanks. Eastern subspecies has complete black cap; melanistic form has more extensive dark mask and is darker overall. Smaller Bay-backed Shrike has thicker black mask; Gray-backed Shrike has darker gray back and lacks orange coloration and white in wings. Juveniles difficult to separate from other juvenile shrikes. Gives loud, screeching calls; also mimics other birds."
86,European Starling,/species/eursta/IN-PB-SH,"Stocky and dark overall with short tail and triangular wings. A close look reveals beautiful plumage: in breeding season, look for purple and green iridescence and a yellow bill. In winter, shows extensive white and buffy spots over the entire body. Juveniles are plain grayish-brown; note bill shape. Native to Eurasia; introduced extensively across the globe. Often abundant, gathering in large flocks in open agricultural areas and towns and cities. Makes a variety of squeaky vocalizations, and often mimics other species. Visits feeders, where it is often aggressive towards other birds."
87,Citrine Wagtail,/species/citwag/IN-PB-SH,"Widespread and fairly common over much of Asia; rare to western Europe. Breeding males spectacular and unmistakable: bright yellow head and body contrasts with black collar and gray (most of range) or black (central and southern Asia) back. Females and non breeding males less conspicuous, dull yellow with dark cheek patch isolated in yellow face and a gray crown and back. Juveniles have same cheek pattern but are dingy grayish overall without yellow tones (or just faint yellow face). White wingbars conspicuous in all plumages; also note pale lores. More tied to water than Eastern Yellow, Western Yellow, or White Wagtail; usually seen at marshes and lake edges. Contact call ""tsriip,"" harsher than Eastern and Western Yellow Wagtail."
88,Temminck's Stint,/species/temsti/IN-PB-SH,"Breeds on wet moorland mainly in Scandinavia and Russia; migrants occur in wide variety of wetland habitats across Africa and southern Asia. Found mainly as singles or small groups, locally in flocks. Often keeps apart from other shorebirds, feeding quietly at marshy and muddy edges in or adjacent to cover. Note very small size, rather plain plumage (limited bright marks on back of breeding adults), greenish-yellow legs. In flight, sides of tail flash bright white, unlike grayish of Little Stint."
89,Verditer Flycatcher,/species/verfly4/IN-PB-SH,"Beautifully vivid turquoise-blue flycatcher. Adult male has dark lores. Juvenile is duller, with noticeably grayer underparts. Sits upright on exposed perches. Found in lowland and hill forests and forest edges. Song is high and undulating phrase of burry or trilled notes. Most common call is a strident “wheet!”"
90,Western Marsh Harrier,/species/wemhar1/IN-PB-SH,"Gangly raptor with long wings and tail; local in marshes and wetlands with extensive reed beds. Mainly seen in flight, quartering fairly low over marshes, with wings raised in shallow V. Commonest plumage dark brown overall with variable creamy cap, throat, and narrow leading edge to wing. Brightest adult males have tricolored upperwings, grayish tail, pale head and breast contrasting with rusty-brown belly. Extremely similar to closely related Eastern Marsh-Harrier; males of that species are darker-headed and browner-chested, and females are warmer brown and streakier on the chest, without Eurasian's discrete white 'cap' and dark line through the eye."
91,Eurasian Hoopoe,/species/hoopoe/IN-PB-SH,"Utterly unmistakable orange bird with a zebra-striped wings, a Chinese fan of a crest (usually held closed, but often raised just after landing), and a rapier of a bill. Favors semiopen habitats such as heathland, farmland, orchards, grassy lawns, where it feeds on the ground, probing with its long bill for insects. Flight fast and fairly direct, with rather deep wingbeats. Unlikely to be confused, but flight pattern and round wings may loosely resemble that of woodpeckers; note far longer and thinner bill. Song is a distinctive “hoopoopoo.”"
92,Paddyfield Pipit,/species/oripip1/IN-PB-SH,"A sparrow-sized, resident pipit with brown plumage that varies in tones in different parts of its range. All birds have a bi-colored bill with a curve to the tip of the upper bill. The breast is streaked and the upperparts have variable amounts of streaking. Juveniles show distinct and dark mottling on the upperparts. It is common in open habitats such as wetlands, farms, fields, and even large parks. Very similar to Blyth’s and Richard’s Pipits, but relatively compact and has a more distinct eyebrow, fainter or no streaking on the back of the neck, a larger head, and a shorter tail than either Blyth’s or Richard’s. Calls include short “tsip” and “tissip” notes."
93,Brown-headed Barbet,/species/brhbar1/IN-PB-SH,"A green and brown barbet with prominent pale streaks on its brown head and breast. The brown throat and green wings with white speckling on the shoulders are characteristic of this species. Also note the large area of dull yellow facial skin and the brown-yellow bill that both turn orange-red when breeding. Immature is similar but duller. Heard more often than seen. Several calls exist, but the most common call is similar to the White-cheeked Barbet’s “kutrook-kutrook-kutrook,” but it is more mellow, sonorous, and less sharp sounding. Generally prefers drier woodlands compared to White-cheeked Barbet though they co-occur in many localities."
94,Gray Wagtail,/species/grywag/IN-PB-SH,"Handsome long-tailed bird. Breeding male has a black throat, mostly yellow underparts. Breeding female often has some dark on the throat, paler yellow underparts. All plumages have gray head and back, with whitish eyebrow, bright yellow belly and vent. Often near flowing water with nearby rocks or surrogate rocky habitat, from mountain streams to weirs in suburban parklands. Walks quietly along shorelines or in nearby open areas, pumping its very long, white-sided tail up and down. Song is a repetitive series of high-pitched notes; calls include short, high “pseet” and buzzier flight calls."
95,Barn Owl,/species/brnowl/IN-PB-SH,"Medium-sized owl with a heart-shaped facial disc and deep dark eyes; the only Tyto owl present throughout much of its range. Varies across a wide global range, but always note white-and-black speckling on the upperparts, beautiful gray-and-tawny wings, and large round head. Color of the facial disc and underparts varies from pure white to rusty orange. Hunts primarily rodents in open areas by night, foraging with a slow and buoyant flight. Roosts in old buildings, tree hollows, caves, and nest boxes by day. Its call is a bone-chilling, rising shriek."
96,Yellow-wattled Lapwing,/species/yewlap2/IN-PB-SH,"Elegantly long-winged brown lapwing. Breeding adult has clean black cap, bright yellow facial wattles, and a white belly. Non-breeding adults and juveniles are more mottled overall and lack a solid black cap. Note contrasting wing and tail pattern when in flight. Prefers dry open areas, often well away from water. Gives a loud rasping tern-like call and a loud “cheeeee’it” in alarm; generally not as noisy as other lapwings."
97,Asian Koel,/species/asikoe2/IN-PB-SH,"A large cuckoo, distinctive in all plumages, but usually secretive, keeping to the interior of dense trees in many habitats, even inner cities and fields. Adult males glossy black with dull lime-green bill; females and immatures blackish brown with white dots on the wings and strong streaking on head and throat. Adults have ruby-red eyes. Females lay eggs in the nests of other large birds, including crows, shrikes, and starlings. Song is a loud, persistent “ko-EL!” similar to a peacock’s call."
98,Gray-throated Martin,/species/gytmar1/IN-PB-SH,"A small gray-brown swallow with pale white underparts. It has a gray-brown chin, throat, and upper breast and does not show any kind of breast band. Tail is short, square-ended or sometimes marginally forked. It is mainly found around slow-flowing rivers, lakes, wet grasslands, and other wetland habitats; mostly seen in the air but sometimes sitting on wires or on the ground or on cliffs while breeding."
99,Red-crested Pochard,/species/recpoc/IN-PB-SH,"A diving duck of larger lakes and reservoirs, especially with fringing reeds. Male striking and unmistakable with large, rounded, rusty-orange head, long red bill, and black breast. Female rather drab but distinctive: dirty buff overall with pale cheeks, dark face, and rounded brown cap. In flight, both sexes show a thick white wing stripe and whitish underwings. Feeds mainly by dabbling and upending. A common feature of waterfowl collections in European town and city parks."
100,Tufted Duck,/species/tufduc/IN-PB-SH,"Common in wetlands from marshy and reed-fringed lakes to open reservoirs; locally on the sea in winter, especially when lakes freeze. Boldly patterned male distinctive: black overall with bright white flanks (whiter than scaup) and floppy crest. Female dark brown overall with short crest, paler flanks, staring golden-yellow eyes, and often a messy white patch at base of bill. In flight, both sexes show bold white wingstripe. Often in flocks in winter; feeds mainly by diving, but often spends much of day sleeping. Widespread breeder across Eurasia, wintering to central Africa, India, and Southeast Asia. Rare winter vagrant to North America, where almost always found singly among flocks of scaup. Compared with scaup, Tufted Duck always shows very dark blackish back, and even nearly tuftless females are darker than scaup with more limited white patch on face."
101,Oriental Turtle-Dove,/species/ortdov/IN-PB-SH,"A dove with attractive plumage: rufous-scaled scapulars and wing coverts, dusky underparts, and a black-and-white striped patch on the side of its neck made of silver-tipped feathers. There is a considerable variation in plumage in different subspecies. The southernmost populations are resident while the others migrate down south during winter. Breeds in open lowland woods and copses with rich undergrowth. Rather shy and keep well hidden in the tree canopy. Call is two hoarse notes followed by two clear notes ""hr-hr oo-oo."""
102,Yellow-footed Green-Pigeon,/species/yefpig1/IN-PB-SH,"Brightly-colored pigeon with significant regional variation. Look for a gray “shoulder strap” and yellow legs. South Asian birds are the brightest, with an orange-yellow neck and green underparts. Southeast Asian birds have more extensive gray on the underparts. Sexes are similar. Found in lowland forest and forest edge, as well as parks, gardens, and orchards; a common urban bird in much of its South Asian range. Not extremely vocal; occasionally gives cooing whistles."
103,Oriental Darter,/species/darter2/IN-PB-SH,"A waterbird with a very long, slender, snakelike neck and a long, pointed bill. Breeding adults have a shiny black body with silvery-white streaks along the wings, a brownish crown and neck, and a white stripe running from the eye to the side of the neck. Nonbreeding and immature plumage is duller and browner. Frequently seen swimming with only its neck and head visible above the water. Impales fish underwater with its daggerlike bill. Like cormorants, often perches upright on a rock, drying itself with outstretched wings. Seen singly or in small groups in inland or coastal water bodies. Frequently soars. Usually silent."
104,Black-crowned Night Heron,/species/bcnher/IN-PB-SH,"Stocky heron with neck usually tucked in. Adults overall pale grayish with black cap and back. Red eyes. Juveniles noticeably different, brown and streaky with yellow eyes. Often crouched under overhanging branches during the day. Feeds nocturnally for fish, frogs and other prey. Where it overlaps with Yellow-crowned Night-Heron, note large teardrop-shaped white spots on wing coverts which Yellow-crowned lacks."
105,Indian Gray Hornbill,/species/inghor2/IN-PB-SH,"A small, grayish-brown hornbill with a pale brow, an obvious casque above the bill (larger in males), and a dual-toned black-and-yellow bill. In flight, note the pale edges on the wings and tail, as well as long central tail feathers. When flying, beats its wings rapidly followed by a short glide. Prefers open woodlands, plantations, gardens, and parks in cities where it feeds on large, fruiting trees. Usually seen in pairs or small groups. The calls include a series of short “kek-kek-kek” notes given in flight and a squealing, hawklike high-pitched “kieeeeu” when perched."
106,Common Kingfisher,/species/comkin1/IN-PB-SH,"Beautiful little blue-and-orange bird with a long, pointed bill. Often rather shy and inconspicuous despite bright plumage. Found along rivers, streams, lakes, and ponds—almost any fresh or brackish habitat with small fish. Often perches quietly in trees over water; most often seen in very fast low flight as a turquoise flash over the water, usually flying away. Easily detected once its high, shrill whistled call is learned, even if the bird itself is hidden. The only small blue kingfisher over much of its range."
107,Coppersmith Barbet,/species/copbar1/IN-PB-SH,"A small, widespread, and cute little barbet with streaked underparts and a well-patterned face. Most populations have a red forehead, yellow around the eye and throat, and a black eyestripe all bordered at the rear of the crown by a black band. Also note red “badge” on upper chest. Female averages duller than the male, with some yellow on a narrower red “badge”. Immature lacks all red and has faint streaking on the throat. Subspecies in Sumatra, Nusa Tenggara, and the central Philippines have bright red-and-black faces. While common, can be hard to see; listen instead for its call, a prolonged and unmistakable “kuk-kuk-kuk.” Favors open woodlands, forest edge, and gardens in lowland and foothill areas; ranges up into higher elevations in the Philippines and Indonesia."
108,Black-rumped Flameback,/species/bkrfla1/IN-PB-SH,"A common, “small-billed” golden-backed woodpecker with four toes. Endemic to the Indian subcontinent and Sri Lanka. Associated with every lowland wooded habitat except dense tropical forest, it often follows degradation into higher elevations. Separated from all other flamebacks except Red-backed by dark throat, lack of a contrasting black horizontal stripe below the cheek, and four toes. Separated from Red-backed by golden back and black shoulder. Often detected by its loud “ki-ki-ki-ki-ki,” which steadily increases in pace and ends in a trill."
109,Alexandrine Parakeet,/species/alepar2/IN-PB-SH,"Large and long-tailed green parakeet with a bright red beak. Female lacks male’s pink-and-black ring around the neck. Note the very long tail. Similar to significantly smaller Rose-ringed Parakeet; note Alexandrine’s dark red shoulder patches and larger bill. Raucous and loud; gives piercing screeches and screams. Found in both dry and wet forest, typically in lowlands but occasionally in foothills. Native to South and Southeast Asia, introduced to parts of Europe and Hong Kong."
110,White-browed Fantail,/species/whbfan2/IN-PB-SH,"Fantail with a broad white eyebrow, dark upperparts, and white underparts. Crown and ear-coverts black, contrasting with white eyebrows. Throat mottled black-and-white. Pair of wingbars formed by well-separated white teardrop-shaped spots. Female slightly paler with a browner head. Immature like adult, but has rufous tips to dark feathers of upperparts. Frequent song is a 4- to 7-note melodious whistling phrase that ascends and then sometimes descends or is left incomplete. Contact call is a harsh “switch-wich.” Inhabits dry, open wooded habitats, ranging from dry deciduous forest to scrubby agricultural edges."
111,Jungle Myna,/species/junmyn1/IN-PB-SH,"Typical “crested myna,” dark gray overall (darkest on head and wings) with white vent and wing patches, yellow-orange bill and legs, and small tufted crest above base of bill. Contrary to its name, usually found in open areas such as farmland, fields, and parks. Similar in appearance to Javan Myna, but shorter-crested, paler overall, and with partially black bill (Javan has entirely yellowish-orange bill). Song consists of harsh, crackling, yet melodic notes."
112,Purple Sunbird,/species/pursun4/IN-PB-SH,"The breeding male is a metallic blue and purple overall with maroon feathers on the breast. The female is olive above and yellow below. The nonbreeding male of this species is primarily olive-brown with blackish upperparts and yellow underparts with blue-black band running down the throat and chest. Females can be distinguished from female Purple-rumped Sunbirds by its yellow (not grayish) throat. Seen in pairs, feeding chiefly on nectar, but they also take insects. Breeding males display by fluttering their wings in front of females while singing. They are found in gardens, cultivated areas, and forests."
113,River Tern,/species/rivter1/IN-PB-SH,"Widespread inland tern of South and mainland Southeast Asia. Breeding adults have full black cap and pale gray wings; white belly, larger size, and heavier structure distinguishes this species from the less common Black-bellied Tern where their breeding ranges overlap. Non-breeding adult has patchy black on the head instead of a full cap, and juvenile has mottled brownish-gray back with a partial black “mask”. Favors freshwater sites, breeding on sandy islands. Gives a grating “kYYEER” note."
114,Asian Woolly-necked Stork,/species/wonsto1/IN-PB-SH,"A dark-brown stork with green-bronze iridescence on the wings and breast. It has a distinctive white ruffled neck, a white tail, and a dark salmon-tipped bill. Resident and migrant. Individuals and small groups forage in rivers, shallow wetland margins, urban grassy areas, and flooded grasslands for insects and small vertebrates. May gather in groups of several hundred when conditions are suitable."
115,Eurasian Sparrowhawk,/species/eurspa1/IN-PB-SH,"Fairly small, long-tailed hawk with broad, rounded wings (not pointed like kestrels). Soars occasionally, but more often seen in quick hunting flight chasing small birds, or perched quietly in shade. Note golden-yellow eyes, barred underparts (barring grayish on female, rusty on male). Juvenile brownish above through first year. Smaller and much less bulky than Northern Goshawk, and with horizontally barred instead of vertically striped underparts. Occurs in woodland, forest, farmland, and urban areas with hedges and wooded patches; sometimes hunts in gardens."
116,Barn Swallow,/species/barswa/IN-PB-SH,"A fairly large, colorful swallow. Usually easy to identify with its long, forked tail and dark rump. Iridescent navy-blue above with a rich orange throat and forehead. Underparts vary across range, from bright buffy-orange to whitish. Occurs in any open habitat, especially large fields and wetlands. Often seen foraging in flocks, sometimes mixed with other species of swallow. Typically nests close to human habitation; builds a muddy cup nest in a barn or under a dock. Listen for dry, scratchy “svit svit” calls. Note head and breast pattern and tail length to help separate from various similar species in Africa, Asia, and Australia (e.g., Welcome Swallow, Angolan Swallow, Pacific Swallow)."
117,Red-rumped Swallow,/species/rerswa1/IN-PB-SH,"Brightly-colored swallow with a deeply forked tail, pale orangish rump, black squared-off undertail coverts, and an incomplete orange collar. Varies significantly across range: European and African birds have clean whitish or orangish underparts, while Asian birds are extensively streaked below; compare carefully with other Cecropis swallow species where range overlaps occur. Juveniles average paler and lack extensive orangish tones; may resemble house-martins but note deeply forked tail. Typically glides on stiff, flat wings, flying quite languidly with shallow wingbeats. Builds mud nests in mountains, sea cliffs and on buildings and other structures. Forages over open areas. Frequently gives a short, sparrow-like “twi’wit.”"
118,Wire-tailed Swallow,/species/witswa1/IN-PB-SH,"A very distinctive swallow with two long, thin feathers on its outer tail from which it gets its name. It has brilliant glossy blue upperparts and a chestnut forehead and crown that contrasts with clean white underparts. Females and juveniles have shorter tails. Found in grasslands, wetlands, open scrublands, cultivated areas and near water. Typically seen in singles, pairs, or sometimes small flocks."
119,Red Avadavat,/species/redava/IN-PB-SH,"Strikingly pretty small finch. Males are largely red and covered in white spots with dark wings and tail. Females are gray with a rufous rump. Both sexes have a red beak. Gives a very musical song a high ""teei"" call. Found in grassy areas close to water and often near human habitation, particularly areas with wet rice paddies."
120,Ferruginous Duck,/species/ferduc/IN-PB-SH,"Rich rusty brown overall with contrasting white triangular patch under tail; male has pale eye. Also note peaked crown and rather long gray bill. In flight, both sexes show bold white wing stripe. Compare with female Tufted Duck (can have similar white patch under tail). Inhabits lakes and marshes, usually with surrounding reeds. Rather shy and often stays hidden in reeds, but at other times out in open water with flocks of Tufted Duck and Common Pochard."
121,Egyptian Vulture,/species/egyvul1/IN-PB-SH,"Odd-looking, pale, medium-sized vulture with a bare, solemn-looking yellow face. The bill is narrow with a black tip. In flight, the deep-fingered black flight feathers contrasting with white inner feathers may recall White Stork, but the tail is wedge shaped. Juveniles are dirty brown with bare gray faces. An inhabitant of open or semiopen areas, nesting on cliffs and less frequently in trees. Scavenges at rubbish dumps in addition to carcasses, but sadly is in decline over much of its wide range."
122,Common Snipe,/species/comsni/IN-PB-SH,"Squat, cryptically-plumaged shorebird with a very long bill. Inhabits a wide range of wetland habitats, from damp meadows to saltmarshes. Mostly inconspicuous, feeding in muddy ground by probing with its bill, usually near reeds or other grassy cover. Often not seen until flushed, when it usually rises from fairly close range with a rough rasping call. Breeding birds are more conspicuous, perching on fence posts. In display flight, birds stoop from high overhead and produce a pulsating, bleating sound from air passing through their fanned tail. In Asia, beware of extremely similar Pin-tailed, Swinhoe's, and Latham's Snipes, all of which lack the white trailing edge of Common and have a slower, less erratic flight."
123,Marsh Sandpiper,/species/marsan/IN-PB-SH,"Slender pale sandpiper with a fine, needle-like bill. Note the overall slim and elegant shape, with very long and slender greenish legs: suggests a much smaller Greenshank that’s been to ballet school. In flight appears dark above with broad white stripe up middle of back; long legs project well past tail tip. Usually found singly or mixed in with other waders in varied fresh to brackish wetland habitats, usually with open water. Feeds by wading in water, picking with its bill. Repetitive mellow calls somewhat similar to Greenshank, but rather monotone and with a sharper quality."
124,Common Greenshank,/species/comgre/IN-PB-SH,"Gentle-eyed large wader with a slightly upturned bill. Note overall grayish plumage with white belly and greenish legs. In flight, appears dark above with a broad white stripe up the middle of the back. Slightly larger and lankier than Common Redshank. Usually seen as singles or small groups. Listen for mellow “tewtewtew.” Feeds mainly by striding in water, picking and sweeping with its bill. Breeds across northern Europe and Asia; migrants and wintering birds in Africa, southern Asia and Australia occur in varied wetland habitats."
125,Bay-backed Shrike,/species/babshr1/IN-PB-SH,"Brightly-colored small shrike, reminiscent of Long-tailed Shrike in overall coloration. Black mask, rufous flanks and back, clean white throat, and small size make it distinctive within its range. Prefers open areas, often in dry regions, with scattered vegetation. Often perches up on exposed snags, fenceposts, or telephone lines. Song is a messy jumble of musical warbles, harsh churrs, and sharp twanging notes. Calls include a harsh “jhiir.”"
126,Black-headed Ibis,/species/blhibi1/IN-PB-SH,"A large wader with a white body and bare black head and neck. Males and females look similar and both have grayish tail feathers. It probes into mud and shallow water with its long, down curved black bill, sometimes submerging its entire head. Found primarily around wetlands including agricultural fields and occasionally around coastal areas, but also seen foraging in dry fields and human-modified landscapes."
127,Crested Lark,/species/crelar1/IN-PB-SH,"Medium sized lark with a prominent crest. Separated from the more range-restricted Thekla's Lark by longer bill with straight lower mandible and usually longer and spikier crest. Lots of variation in plumage color, which matches local soil types, but usually grayer and darker than Eurasian Skylark. Short tail and rust-tinged underwings obvious in flight. Found in dry areas with scarce vegetation, especially agricultural land and at roadsides. Song is an often magnificently long and highly impressive series of varied jumbled twitters, trills, warbles, and slurred notes. Often gives a plaintive “ch’wee.”"
128,Zitting Cisticola,/species/zitcis1/IN-PB-SH,"Very small, with a distinctive short, rounded tail with conspicuous spots at the tip. Body sandy-colored below, streaky above. Breeding males have a dark bill and crown. Found in open grasslands, meadows, marshes, and agricultural areas. Most readily detected by its repetitive and monotonous song, given from either a perch or in an undulating song flight. Song varies across wide distribution, ranging from evenly-paced squeaky “tsik, tsik” of African and European birds to the fast dry ticking of Southeast Asian birds."
129,Baya Weaver,/species/baywea1/IN-PB-SH,"A widespread weaver that is known for its nest—a long hanging nest with a bulbous chamber and a narrow tubular entrance. Breeding males have yellow forehead and crown, a dark throat that contrasts with yellow underparts. Nonbreeding males and females are similar except they have buffy colors where breeding males are yellow; also note the dark streaks on the back and the broad buffy eyebrow on females. Juvenile resembles female, but lack the female’s obvious eyebrow. Baya Weavers lack the strongly streaked appearance of Streaked Weavers. Regional variation in plumage exist mainly in the amount of yellow and black in breeding plumage. Occur as flocks, particularly in breeding season. Advertising calls of males are an easy way to detect the species as several males in the flock call together creating a cacophony of a series of rasping chatters followed by a buzzing whistle interspersed with long chatters."
130,Oriental Honey-buzzard,/species/orihob2/IN-PB-SH,"A large raptor of lowland and montane broadleaf and mixed forests, this species is well-known for its tendency to congregate in large flocks of up to thousands during migration. Resident populations inhabit tropical forests from lowlands up into montane areas. While showing considerable plumage variation throughout its range, the combination of an unusually small and slender head, long striped tail, broad wings, and well-striped underwings make this species fairly recognizable across a wide area. True to its name, this species is a raider of wasp and bee nests, although it prefers bee and wasp larvae over their honey."
131,Spotted Owlet,/species/spoowl1/IN-PB-SH,A small uncrested owl with a round head and a short tail. It is grayish-brown overall with white spots above while its underparts are white with brown bars. Note the distinctive white eyebrows and neck-band. Often active at dawn and dusk when it utters a loud “chirurr-chirurr-chirurr” laugh in addition to a variety of high-pitched squeals and whistles. Inhabits all kinds of open habitats but avoids dense forest and wetter regions.
132,Indian Golden Oriole,/species/ingori1/IN-PB-SH,"Males are bright yellow overall save for the black wings and inner tail feathers. Note the yellow patch on the wings, the yellow outer tail feathers, the black stripe through the eye that gives it a masked appearance, and the fleshy pink bill. The female is dull greenish-yellow overall with dirty brown/green wings and a completely yellowish tail. Both males and females have red iris. Most often found feeding in tree canopies either singly or in pairs. They generally give a harsh “krrrrrrrrrrrr” call while feeding. In flight, note its characteristic dipping flight style."
133,Medium Egret,/species/integr1/IN-PB-SH,"A stocky egret that is larger than Eastern Cattle and Little Egrets, but smaller than the Great Egret. Often confusing and difficult to identify, this bird is truly intermediate between potential confusion species. Things to look for include a yellow bill that is shorter than Great Egret but longer than Eastern Cattle Egret, a relatively rounded head, and shorter legs than Great Egret, approaching Eastern Cattle Egret. Like most egret species, associates with all types of water bodies including wet fields, often flocking with other egrets."
134,Common Buzzard,/species/combuz1/IN-PB-SH,"Commonest large hawk in many areas, often seen soaring. Favors woodland and forest edge, farmland with hedges; locally in towns with larger trees and wooded parks. Also hunts over open country, especially moorland and rough grassland. Mainly seen as singles or pairs, circling over fields and woodlands with wings slightly raised. Rather stocky hawk with broad wings and fairly short, square-tipped tail (rounded when spread). Plumage variable but typically has paler breast band, fine dark tail barring (broad dark tail tip on adult)."
135,Tree Pipit,/species/trepip/IN-PB-SH,"Slender and streaked pipit. Feeds on the ground like other pipits, but perches readily in trees or bushes when singing, or alights in tree at end of parachuting song flight. As the name suggests, usually associated with trees (on breeding grounds), but also found in agricultural areas and grassy scrub in winter. All pipits look rather similar and are best identified to species by combination of habitat and voice: Tree Pipit call a high, shrill, buzzy ""tzzz""; song more melodic and varied than Meadow Pipit song."
136,Common Woodshrike,/species/comwoo1/IN-PB-SH,"A medium-sized woodshrike with grayish-brown upperparts, black facial mask, white rump, and gray tail with white outer tail feathers. Bill strongly hooked, dark grayish-brown in color. Underparts white. Similar to Malabar Woodshrike and Large Woodshrike, but generally found in drier forests; also note prominent white supercilium. Usually found in dry forested areas and shrublands. Bright, fast-paced song starts out with two strident “wheeet” notes, followed by a descending series of shorter notes. Calls vary, but usually sound like isolated fragments of song."
137,Gray-breasted Prinia,/species/gybpri1/IN-PB-SH,"A small, relatively short-tailed prinia with a fine black bill. Usually found in scrub forests and undergrowth along forest edges and forest clearings. Breeding birds have a distinctive gray breast band, gray upperparts, and no eyebrow. Nonbreeding birds lack a complete breast band and have a short eyebrow. An active bird that often occurs in flocks. It makes a wide variety of sounds including buzzy songs which it sings from high, exposed perches. Nonbreeding birds are similar to Rufescent Prinia, but Gray-breasted Prinias have a shorter eyebrow, more contrast between the pale throat and darker chest, and a different call."
138,Lesser Whistling-Duck,/species/lewduc1/IN-PB-SH,"A small, well-proportioned, tree-nesting duck. Pale brown overall with a darker brown crown and nape, warmer chestnut underparts, and chestnut-fringed feathers on the back. Note the faint orange-yellow eyering and the dark gray bill and legs. Sexes similar; juveniles duller. A gregarious duck found in shallow water bodies with abundant vegetation. Flies with rapid wingbeats on broad dark wings; note flashing chestnut shoulders and chestnut rump. Call is a wheezy whistling “seasick-seasick."""
139,Scaly-breasted Munia,/species/nutman/IN-PB-SH,"Attractive small songbird of grasslands, gardens, fields, and agricultural areas. Native to India and Southeast Asia, with introduced populations scattered elsewhere around the world. Typical adults dark chestnut-brown above, white below, with fine dark scaly pattern on belly; some populations duller brown. Juveniles plain brown all over with slightly paler underparts. Typically found in small flocks, sometimes mixed with other species of munia."
140,Bonelli's Eagle,/species/boneag2/IN-PB-SH,"Medium-sized, athletically proportioned eagle, with streaked whitish underparts contrasting with dark wings and tail. Juveniles are rufous below, and lack the adult’s broad dark band at the tip of the tail. Found in forests or mountains, sometimes in more open habitats in winter; usually in remote areas. Builds nests on cliffs and ledges, and in caves. Distinctive in flight: note bulging secondaries and narrowness of wing where it meets the body. Usually seen soaring over distant ridgelines, when the shallow “fingers” to its wings are obvious in contrast to the deep fingers of other eagles."
141,Mallard,/species/mallar3/IN-PB-SH,"A large duck, generally common and familiar within its extensive range. Males are distinctive with iridescent green head, yellow bill, chestnut breast, and gray body. Females are mottled brown with orange and black splotches on the bill. Found anywhere with water, including city parks, backyard creeks, and various wetland habitats. Often in flocks, and frequently mixes with other duck species. In North America, females can be tricky to distinguish from American Black Duck, Mottled Duck, and Mexican Duck where ranges overlap. Those species are all darker-bodied than Mallard. A good view of the wing can be helpful, too: white wingbars on the leading and trailing edges of the blue wing patch are bolder on Mallard. Frequently hybridizes with those species, which can be even more confusing. Any bird with extensive white in the tail or curled feathers above the tail has some Mallard genes."
142,Pheasant-tailed Jacana,/species/phtjac1/IN-PB-SH,"An eye-catching waterbird found on lakes and ponds with extensive floating vegetation. Long-tailed breeding adults are striking: the large white wing patch and head contrast sharply with its black body and bright yellow neck patch. Short-tailed wintering adults and juveniles have a brown back, white underparts, and a toned-down version of the breeder's head pattern. Vocalizations include a variety of nasal clucking and purring calls; song, seldom heard, a repeated, ringing “ku-woo.”"
143,Indian Thick-knee,/species/indthk1/IN-PB-SH,"Large, bizarre-looking shorebird with streaky brown plumage and piercing yellow eyes. Black-and-white wing pattern visible in flight. Most active at dusk or at night, often hiding away under shady vegetation by day. Favors dry areas, including fields, thorn forest, and dry riverbeds. Vocal after dark; gives a rapid series of high, sharp ‘kli!’ notes."
144,Little Swift,/species/litswi1/IN-PB-SH,"Small swift with a square-tipped tail, broad outer wings and sharply-demarcated white rump. White on the rump extends to the sides and is visible from below. Note the obvious contrasting white throat. Superficially similar to house-martins, but lacks a white belly. Breeds both in natural cliff settings and in urban areas where it nests on buildings. Very vocal, particularly near the nest, giving a constant descending trill."
145,Booted Eagle,/species/booeag1/IN-PB-SH,"A medium-sized buzzard-like raptor but still unmistakably eagle-shaped, with long fingered primary flight feathers, a long square-shaped tail, and feathered legs (boots) prominent when perched. Two color morphs: pale morphs are distinctively two-toned and contrasting, whereas dark birds can be confused with Black Kites and Marsh Harriers. Look for distinctive pale ""landing lights"" on the shoulders when viewed head-on. Found in forested country with open patches, often in hilly areas where it frequently soars with wings slightly pushed forward."
146,Taiga Flycatcher,/species/taifly1/IN-PB-SH,"Small brown flycatcher with a sharply contrasting black-and-white tail. Breeding male has an orange throat patch surrounded by a faint gray wash. Non-breeding male has darker flanks and far less orange on the throat. Female is cold brown above and dirty-white below. Red-breasted Flycatcher can be very similar; in Taiga, note restricted orange patch and gray throat wash in breeding male and overall colder coloration and darker bill. Voice also differs: Taiga has a more complex song comprised of whistles and trills, and a dry trill, faster than that of Red-breasted. Breeds in forested areas, favoring coniferous and mixed deciduous tracts with clearings and waterways. Winters in various wooded or shrubby habitats."
